s 60
o 0 t 0.060000 f 47 x -0.333333 0.916667 0.000000 v 0.740825 -0.057467 -0.003438 p 1028.927664
o 0 t 0.060000 f 48 x -0.333333 0.958333 -0.034404 v 0.851809 -0.028741 -0.011739 p 1029.028691
o 0 t 0.060000 f 49 x 0.666667 -0.791667 0.034404 v -0.026649 0.019807 0.014463 p 1028.623052
o 0 t 0.060000 f 50 x 0.625000 -0.833333 0.034404 v -0.021685 0.025152 0.041584 p 1028.576560
o 0 t 0.060000 f 51 x 0.666667 -0.791667 0.103211 v -0.022536 0.033941 0.051745 p 1028.622921
o 0 t 0.060000 f 52 x 0.666667 -0.833333 0.034404 v -0.013470 0.027266 0.038825 p 1028.683486
o 0 t 0.060000 f 53 x -0.416667 -0.208333 0.034404 v -0.096534 0.029767 0.021455 p 1028.348016
o 0 t 0.060000 f 54 x -0.416667 -0.250000 0.034404 v -0.089193 0.047267 -0.004260 p 1028.328600
o 0 t 0.060000 f 55 x -0.375000 -0.208333 -0.034404 v -0.094237 0.043539 -0.023304 p 1028.340031
o 0 t 0.060000 f 56 x -0.416667 -0.208333 -0.034404 v -0.083097 0.045548 -0.025689 p 1028.315048
o 0 t 0.060000 f 57 x -0.333333 -0.583333 0.103211 v -0.071212 0.025208 0.060431 p 1028.398945
o 0 t 0.060000 f 58 x -0.291667 -0.625000 0.034404 v -0.069939 0.019836 0.059522 p 1028.409378
o 0 t 0.060000 f 59 x -0.291667 -0.583333 0.034404 v -0.068785 0.028806 0.058177 p 1028.399871
o 0 t 0.060000 f 60 x -0.333333 -0.583333 0.034404 v -0.072813 0.022053 0.021424 p 1028.392301
o 0 t 0.060000 f 61 x -0.541667 -0.875000 -0.034404 v -0.032880 0.043923 -0.032033 p 1028.455834
o 0 t 0.060000 f 62 x -0.500000 -0.833333 -0.034404 v -0.017221 0.086484 -0.040439 p 1028.279271
o 0 t 0.060000 f 63 x -0.541667 -0.833333 -0.034404 v -0.011529 0.084573 -0.061407 p 1028.283238
